real_tweet,new_label
 smt   mending ikut studi independen dulu apa magang yaa nanti di semester   ada magang juga dari kampus soalnya,0
 di kampus kalian mahasiswa s  wajib publish jurnal terindeks sinta gitu ga  kalo iya di semester berapa ,0
 bisa gk yh tugas uas ini ngerjain dirinya sendiri  gausah manja minta kita utk bantu kerjain     ,0
 dosen praktikum aku ngasih ini waktu pertemuan kelas terakhir  terharu bgt  kayaknya bakal aku simpen sampe lulus        ,0
 alhamdulilah masih bisa hidup walaupun dikasi    k include kos kuliah di jkt   ,1
 mini skripsi tu jurnal bkn  aku bru smt   kaget dpt tugas mini skripsi  soalnya msih gatau apa  bgt tentang skripisi   tolong hal pertama yg hrs aku lakukan apa ya  cm dikasih waktu   hri lg   makasih,0
 habis sempro kan banyak revisian  nah minta bimbingan revisiannya ke dosji yg sebelumnya dospem atau ketiga  nya ,0
 adakah yang tahu pihak yang bisa membantu memberi beasiswa  selain kampus   sender keterima exchange ke luar  tapi kebagiannya self funded dan berencana mau mengajukan ke proposal ke pihak yang sekiranya bisa membantu  thank you teman  atas jawabannya ,2
 angkatan      ada yg udah sidang skripsi ,0
 sebelumnya makasih yg udah mauu bantu jawab    ,2
 disini ada kakak kakak yang paham tentang kisi kisi soal yang c  sampe c  gak   aku punya    soal  mau minta tolong diliatin ini termasuk ke mana aja soalnya  makasihh,0
 guys kalo footnote kan udh pasti masuk daftar pustaka ya  tp referensi yg ada di daftar pustaka boleh gak ada di footnote kan ya   apa harus ada juga   mohon pencerahannyaa  thankss,0
waktu yg pas  menurut kalian chat aja ga ya  ,0
 curhat dong  jadi aku senin kemarin chat dosen diread doang  mau rechat skrg ragu  takutnya cuma diread aja  pengalaman sebelumnya emang klo lagi ga online  gapernah dibales  kadang ga dibaca kadang cuma diread  bolak balik wa buat liat online atau ngga tp ga nemu   cont ,0
 sender mau daftar msib magang  nah disini sender blm lulus kann  klo buat cv nya itu gimana ya  keterangan buat yg belum lulus pendidikan,0
