tweet,label
"[cm] Bisa gk yh tugas UAS ini ngerjain dirinya sendiri, gausah manja minta kita utk bantu kerjain,,,  https://t.co/LznXVqQU1G",0
"[cm] curhat dong, jadi aku senin kemarin chat dosen diread doang, mau rechat skrg ragu, takutnya cuma diread aja. pengalaman sebelumnya emang klo lagi ga online, gapernah dibales, kadang ga dibaca kadang cuma diread. Bolak balik wa buat liat online atau ngga tp ga nemu2 (cont)",0
"jujur ya, pertanyaanmu nggak berpengaruh apapun dan malah bikin pusing tauuu",0
"[cm] Eneg banget nggak sih guys kalau ditanyain tentang skripsi terus, kayak sudah sempro? Kapan sempronya? Progressnya sudah sampai mana?  Kayak yaudah gitu buat apa nanya nya? Mau bantuin? Enggak kan? Jadi mending fokus punyamu sendiri aja deh. Kalau alasannya peduli, (cont)",0
"[Cm] mau nangis, aku udh ngebubble chat 8Ã— dari semalem di gc kelompok. Tp sampe sekarang belum ada balesan pdhl udh di read ðŸ˜€",0
"[cm] kadang dosbing itu kalo kitanya udah siap revisian, tp beliaunya susah ditemuin ya :) sedih",0
"[cm] kakak-kakak yang udah skripsian, gimana sih cara nentuin tema skripsi? lagi buntu banget ðŸ™ðŸ»ðŸ˜­",0
[CM] Ada anak pendidikan semester akhir nggak? Mau tanya masalah skripsi terlebih lagi kurikulum merdeka :(,0
[cm] LAH KALIAN DIBAYAR??? ðŸ˜­ðŸ˜­ðŸ˜­ KOK BISA?? ðŸ˜­ðŸ˜­  https://t.co/Vzrc5Y2Oxe,0
"[cm] Capek bgt liat kelompok kkn ku. Pas bahas baju gercep pada nongol semua, pas diajak bahas proposal malah menghilangðŸ˜Œ  https://t.co/yiK6MNL7wx",0
[cm] guys yang smt 5 ini kalian liburan mau cari magang kaaah?? aku kek org gatau apa-apa gini hikss,0
[cm] data skripsi klo dipalsuin dikit aman ngga? kalian pernah ngga? huhu udah mepet bgt dan susah nyari responden,0
"[cm] sbg mhs rantau, culture shock apa yang pernah kalian alamin ketika berada/ketemu org yg berbeda suku dan budaya, misal dr perilaku, cara komunikasi, sm pandangan/pola pikir",0
diluar itu ga aku peduliin.,0
"[Cm] please no salty wajar ga sih aku sedang skripsi, terus aku bener - bener difase ga mau komunikasi sama siapapun selain keluarga sama teman angkatan yang senasib (sama - sama lagi skripsian) itu pun sama teman angkatan bahasannya hanya seputar skripsi, yang bahas (cont)",0
[cm] sender butuh seseorang yg bisa kasih saran agar judul mini riset sender tidak salah jalan yang berujung boomerang :(,0
[cm] hari ini ada kuis tapi kepala sakit banget gak kuat bangun. Mual-mual juga huhu. It's okey kan ya ga kuis sekali? Takut malah kenapa2 di kampus ðŸ¤§,0
"[cm] // Manajemen Pendidikan  menurut kalian kalo bikin mini riset dengan judul tersebut, related atau ngga? dari kemarin sender keliru judulðŸ˜­ mana ini tugas uas perkelompokkk  https://t.co/2zuqGmdAVS",0
"[cm] guys, ini website MS1B belum bisa dibuka kah posisi magangnya ? :(",0
[cm] mending inhal prak ikut kelas lain minggu depan atau gas masuk prak hari ini ya? posisinya sender lg diare mendadak abis makan ikan teri kacang pedes ðŸ˜­,0
"[cm] aku bisa bertahan gk ya...... aku semester 13,   skrg udh di tahap skripsi, tp org tua aku kacau lagi, aku stress lagi, mau nyerah....",0
[cm] awali pagimu dengan senyum indah syntax  https://t.co/dDsLA72mPT,0
"[cm] pernah gak merasakan dibuang oleh temen sendiri? aku lagi ngerasain, karena dia udah lulus kuliah sedangkan aku masih skripsi dan maybe aku udah gak penting atau bermanfaat di hidup dia, jadi dibuang gitu aja. ðŸ˜‚",0
"tidur dulu tugasnya blm turun. Masa aku disuruh ngurus sendirian, nyumbang duit kagak. Boleh kan ya aku pura-pura bangun telat, biar mereka tuh mikir dan kalang kabut sendiri buat nurunin file yg satunya? Dongkol banget akuðŸ˜­ðŸ˜­ mana klo aku gk ngatur gaada yg inisiatif. DAHLAH.",0
"[cm] aku semalem baru tidur jam setengah 2 malem buat nungguin dan nyari cara turnitin tugas kelompokku bisa turun maks 20. Yg kemarin blm tidur aku doang, yg lain aku chat ke grup gaada yg nyahut. Sumpah aku dongkol sedongkol dongkolnya, padahal aku udh bilang jangan (cont)",0
[Cm] SEDIHH BANGET CATETAN SENDER DIROBEK ANABUL ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ sender salah karna lupa taro catetan di atas meja tapi dia biasanya anteng aja ga ngereog ðŸ˜­ðŸ¥²  https://t.co/CbKMGUsY5A,0
"[cm] semenjak kuliah, mentalku gonjang ganjing.  https://t.co/fEiJ2a6nDx",0
"KUMISNYA KEK LELE."" ARGHHHH MARAH.",0
"[Cm] punya kelompok anak organisasi yg super sibuk bikin ngebatin. Di luar dia aktif banget, tp kalau disuruh kelompokan alasannya ""maaf ya, aku lg ada urusan."" LOH DIA KIRA YG PUNYA URUSAN CUMA DIA. KEK PGN BGT NGOMONG DI DEPAN MATANYA ""MAJU SINI, MENDING LU JADI NAGA YG (cont)  https://t.co/7S8A4HNAg4",0
"masa sekarang, memperbaiki apa-apa yang salah, menyempurnakan apa-apa yang kurang. Bukankah salah dan gagal adalah hal yang wajar?  https://t.co/iOBiUfIQCb",0
[cm] Masih di sini. Merasakan hembusan nafas yang rasanya tak pernah sedalam ini. Meresapi tetes demi tetes tangis yang belakangan lebih sering menemani. Mengingat kembali alasan demi alasan mengapa dulu amat sangat terobsesi dengan logo satu ini. Lalu saatnya kembali ke (cont)  https://t.co/PJbuPnhXDk,0
"[cm] gaes mohon doanya, hari ini aku ujian tutup ðŸ˜­ btw spill doa yang kalian baca dong waktu ujian dulu supaya nggak dibantai sama dosen ðŸ˜­ðŸ˜­",0
[cm] kesel banget kuliah siang asli lemes kalo pulang pusing berat kepala :),0
